round,strategy,true_count,bet,wagered,result,bankroll
210,COUNT,-5.673,10,10,-10,880
210,DEALER,-5.673,10,10,-10,965
211,BASIC,-6.627,10,10,10,935
211,COUNT,-6.627,10,10,-10,870
211,DEALER,-6.627,10,10,10,975
212,BASIC,-8.089,10,10,-10,925
212,COUNT,-8.089,10,10,-5,865
212,DEALER,-8.089,10,10,-10,965
213,BASIC,0.0,10,20,20,945
213,COUNT,0.0,10,10,15,880
213,DEALER,0.0,10,10,-10,955
214,BASIC,0.52,10,10,-10,935
214,COUNT,0.52,10,10,-10,870
214,DEALER,0.52,10,10,0,955
215,BASIC,0.715,10,10,10,945
215,COUNT,0.715,10,10,10,880
215,DEALER,0.715,10,10,10,965
216,BASIC,0.746,10,10,10,955
216,COUNT,0.746,10,10,10,890
216,DEALER,0.746,10,10,10,975
217,BASIC,0.773,10,10,0,955
217,COUNT,0.773,10,10,-10,880
217,DEALER,0.773,10,10,-10,965
218,BASIC,0.403,10,10,10,965
218,COUNT,0.403,10,10,10,890
218,DEALER,0.403,10,10,-10,955
219,BASIC,0.421,10,10,10,975
219,COUNT,0.421,10,20,20,910
219,DEALER,0.421,10,10,10,965
220,BASIC,-0.658,10,10,10,985
220,COUNT,-0.658,10,10,15,925
220,DEALER,-0.658,10,10,10,975
221,BASIC,-0.46,10,10,10,995
221,COUNT,-0.46,10,10,10,935
221,DEALER,-0.46,10,10,10,985
222,BASIC,-0.959,10,10,-5,990
222,COUNT,-0.959,10,10,-10,925
222,DEALER,-0.959,10,10,10,995
223,BASIC,-0.505,10,10,10,1000
223,COUNT,-0.505,10,10,10,935
223,DEALER,-0.505,10,10,-10,985
224,BASIC,-1.333,10,10,10,1010
224,COUNT,-1.333,10,10,-10,925
224,DEALER,-1.333,10,10,-10,975
225,BASIC,-1.137,10,10,10,1020
225,COUNT,-1.137,10,10,10,935
225,DEALER,-1.137,10,10,10,985
226,BASIC,-1.202,10,10,-10,1010
226,COUNT,-1.202,10,10,10,945
226,DEALER,-1.202,10,10,-10,975
227,BASIC,-1.926,10,10,10,1020
227,COUNT,-1.926,10,10,10,955
227,DEALER,-1.926,10,10,10,985
228,BASIC,-1.368,10,10,0,1020
228,COUNT,-1.368,10,10,10,965
228,DEALER,-1.368,10,10,10,995
229,BASIC,-1.475,10,10,0,1020
229,COUNT,-1.475,10,10,10,975
229,DEALER,-1.475,10,10,-10,985
230,BASIC,-1.985,10,10,-10,1010
